Position,Instructions,Size,Priority,Working Class
1,612.2004123,18,2,26
1,726.67914,131,2,26
1,623.7608766,365,2,26
1,447.1141092,68,2,26
1,212.3032878,12,2,26
1,151.9647934,324,2,26
1,64.03660798,290,2,26
1,717.4667631,292,2,26
1,517.38219,196,2,26
1,78.82317433,327,2,26
1,741.6468279,103,2,26
1,164.5898267,204,2,26
1,561.6652821,323,2,26
1,649.1730662,108,2,26
1,392.8590545,32,2,26
1,156.7095899,357,2,26
1,191.5997854,229,2,26
1,262.8330141,13,2,26
1,411.5282033,368,2,26
1,599.4576822,330,2,26
1,192.3238312,40,2,26
1,770.8603878,242,2,26
1,663.3078133,84,2,26
1,94.17544573,75,2,26
1,450.3954676,354,2,26
1,561.1541616,348,2,26
1,14.58390343,239,3,33
1,38.83529244,259,3,33
1,309.0317192,354,3,33
1,269.6366502,368,3,33
1,143.3472682,54,3,33
1,55.47848372,101,3,33
1,94.71107074,11,3,33
1,734.8420337,53,3,33
1,384.0183927,371,3,33
1,130.3627205,279,3,33
1,257.2089722,13,3,33
1,675.2617119,292,3,33
1,761.3875805,293,3,33
1,84.5138301,120,3,33
1,470.630207,266,3,33
1,760.8535314,84,3,33
1,311.7649084,140,3,33
1,6.656988906,308,3,33
1,656.5056856,46,3,33
1,720.4339224,126,3,33
1,656.3256232,43,3,33
1,43.22037173,309,3,33
1,448.6630786,304,3,33
1,108.2385574,320,3,33
1,50.66994693,372,3,33
1,773.0633457,393,3,33
1,228.8980385,322,3,33
1,137.991327,152,3,33
1,485.1978335,281,3,33
1,603.508872,339,3,33
1,314.1816949,174,3,33
1,313.2707808,167,3,33
1,575.1902449,144,3,33
1,153.4638008,216,3,33
1,310.932468,18,3,33
1,313.9082606,101,3,33
1,427.18767,131,3,33
1,485.5555813,154,3,33
1,469.1640917,32,2,26
1,314.5914097,63,2,26
1,211.6854007,361,2,26
1,735.392785,374,2,26
1,389.4406661,1,2,26
1,772.0709661,46,2,26
1,87.30213293,345,2,26
1,597.2091127,369,2,26
1,90.68625904,284,2,26
1,92.00950492,350,2,26
1,199.8773885,216,2,26
1,502.2391608,346,2,26
1,326.2681136,373,2,26
1,357.3356128,96,2,26
1,0.415866504,323,2,26
1,106.2031119,286,2,26
1,215.1920468,4,2,26
1,514.8504733,235,2,26
1,61.63837492,125,2,26
1,309.909016,77,2,26
1,313.2567235,64,2,26
1,251.913265,377,2,26
1,348.0746029,338,2,26
1,36.55427783,364,2,26
1,706.7941323,123,2,26
1,725.7265553,21,2,26
1,758.7570205,264,2,26
1,76.21244549,80,3,33
1,570.2137358,199,3,33
1,267.6125115,27,3,33
1,533.5138593,390,3,33
1,2.707960005,337,3,33
1,188.6827678,315,3,33
1,613.8152861,252,3,33
1,290.9808817,323,3,33
1,268.280544,159,3,33
1,149.9479914,109,3,33
1,512.4683612,87,3,33
1,213.448263,299,3,33
1,417.8467692,391,3,33
1,31.87145648,314,3,33
1,249.8042582,378,3,33
1,713.5374405,208,3,33
1,162.196894,79,3,33
1,503.6805852,171,3,33
1,123.355627,260,3,33
1,532.5861323,244,3,33
1,719.1964673,222,3,33
1,283.4315364,132,3,33
1,730.7750398,106,3,33
1,446.330349,327,3,33
1,733.8482067,233,3,33
1,118.6512687,165,3,33
1,67.79857982,369,2,26
1,450.2716036,225,2,26
1,323.7348371,156,2,26
1,496.1424537,302,2,26
1,458.3878076,125,2,26
1,653.001897,237,2,26
1,532.5805866,355,2,26
1,91.83637719,70,2,26
1,229.4357866,312,2,26
1,299.6457342,212,2,26
1,722.7595761,19,2,26
1,182.4407452,105,2,26
1,591.5893105,166,2,26
1,310.8097994,268,2,26
1,42.77151604,237,2,26
1,42.35191382,13,2,26
1,544.4949704,271,2,26
1,323.5226482,182,2,26
1,120.7101761,361,2,26
1,624.1540017,316,2,26
1,628.8954971,360,2,26
1,452.2977784,361,2,26
1,726.6824553,175,2,26
1,102.0293014,211,2,26
1,270.3412365,212,2,26
1,98.77216835,58,2,26
1,540.5802919,323,2,26
1,445.5219288,178,2,26
1,250.5966232,397,2,26
1,217.0670416,7,2,26
1,512.5018032,59,2,26
1,369.1019638,366,2,26
1,525.346475,323,2,26
1,201.142414,77,2,26
1,607.0602049,82,2,26
1,735.5159779,36,2,26
1,764.8199732,373,2,26
1,213.2260242,74,2,26
1,389.111548,239,2,26
1,121.784424,233,2,26
1,246.9746684,293,2,26
1,531.4298114,120,2,26
1,369.3784877,171,3,33
1,48.36666449,54,3,33
1,49.67871655,360,3,33
1,343.4031768,319,3,33
1,266.5388121,234,3,33
1,502.0345216,349,3,33
1,479.2206072,373,3,33
1,311.5477843,223,3,33
1,674.1019417,300,3,33
1,194.0098073,202,3,33
1,359.9347751,68,3,33
1,416.9757475,309,3,33
1,746.3398071,197,3,33
1,363.7283289,119,3,33
1,661.9705598,70,3,33
1,331.1648828,191,3,33
1,720.8232019,213,3,33
1,52.22703672,85,3,33
1,305.651061,382,3,33
1,752.5056138,206,3,33
1,677.4273948,79,3,33
1,581.3618203,385,3,33
1,64.34942308,106,3,33
1,493.9603231,54,3,33
1,207.5805119,352,3,33
1,724.2555607,39,3,33
1,209.1582264,325,3,33
1,42.48151379,351,3,33
1,425.8398318,83,3,33
1,161.3258062,295,3,33
1,601.8602812,224,3,33
1,343.2274572,234,3,33
1,580.5897828,231,3,33
1,539.6807669,64,3,33
1,520.4587963,309,3,33
1,380.1281247,255,3,33
2,413.5141337,879,1,28
2,227.611979,401,1,28
2,576.2896644,448,1,28
2,767.3338915,698,1,28
2,117.9862839,1044,1,28
2,115.6019001,818,1,28
2,700.6451036,1427,1,28
2,227.7176535,1313,1,28
2,427.8213382,1341,1,28
2,682.0402103,632,1,28
2,532.166966,428,1,28
2,731.2441823,720,1,28
2,572.2742887,607,1,28
2,518.6735234,1130,1,28
2,174.9337272,1323,1,28
2,318.3716413,1342,1,28
2,405.6624043,716,1,28
2,427.4028249,1220,1,28
2,600.5462662,1391,1,28
2,101.3636949,484,1,28
2,718.3246882,988,1,28
2,178.2349428,751,1,28
2,440.6788671,1069,1,28
2,643.004894,964,1,28
2,617.785453,1454,1,28
2,346.0213688,1445,1,28
2,121.3230601,1085,1,28
2,291.9812417,452,1,28
2,131.7938632,940,1,28
2,214.9433157,649,1,28
2,397.4054306,1313,1,28
2,148.3695024,574,1,28
2,636.2479419,1423,1,28
2,269.0551298,1046,1,28
2,632.1265874,793,1,28
2,686.0414454,1310,2,27
2,374.660514,974,2,27
2,99.60776975,1158,2,27
2,764.7462909,993,2,27
2,102.3863964,463,2,27
2,396.8618161,1088,2,27
2,680.0205774,665,2,27
2,669.2747951,1230,2,27
2,262.0504894,432,2,27
2,239.1058913,675,2,27
2,152.5322358,637,2,27
2,555.1667485,1426,2,27
2,614.6473302,939,2,27
2,580.3346206,508,2,27
2,584.6567703,1224,2,27
2,610.106375,686,2,27
2,637.7699193,1347,2,27
2,386.0246722,421,2,27
2,190.4875196,1293,2,27
2,427.160603,864,2,27
2,218.2631888,959,2,27
2,165.8094695,986,2,27
2,736.0037692,698,2,27
2,530.2997712,1481,2,27
2,707.9000166,927,2,27
2,411.3910962,1143,2,27
2,484.9028107,1108,2,27
2,26.01254963,1262,2,27
2,694.0670733,1476,2,27
2,154.2806711,1143,2,27
2,430.5855769,665,2,27
2,440.7567994,1340,2,27
2,420.0540824,904,2,27
2,719.9029566,1023,2,27
2,418.7589654,1406,2,27
2,34.88055684,1260,2,27
2,257.0829329,1039,2,27
2,495.5844516,808,2,27
2,213.8804554,564,2,27
2,563.1660974,1237,2,27
2,55.94195082,1100,2,27
2,740.9411661,722,2,27
2,507.0351283,1284,3,32
2,125.5229058,1018,3,32
2,17.81403797,1153,3,32
2,763.365926,844,3,32
2,219.9021604,606,3,32
2,703.87448,1441,3,32
2,379.0342752,496,3,32
2,518.3762231,1342,3,32
2,705.0616505,1150,3,32
2,42.2627262,1053,3,32
2,433.9640862,1067,3,32
2,110.8275881,505,3,32
2,743.1989912,732,3,32
2,724.5428842,1198,3,32
2,608.4438409,1375,3,32
2,97.83325372,1438,3,32
2,653.2365607,674,3,32
2,416.918469,1230,3,32
2,618.830221,696,3,32
2,504.7742051,1253,3,32
2,293.71396,1203,3,32
2,147.2962965,1195,3,32
2,119.5786633,1417,3,32
2,709.0925059,1296,3,32
2,120.1429008,1393,3,32
2,349.7833616,695,3,32
2,33.09298747,903,3,32
2,602.7632974,1467,3,32
2,516.9979269,907,3,32
2,701.9021577,645,3,32
2,366.8330605,1120,3,32
2,612.0403599,878,3,32
2,288.4006606,1467,3,32
2,76.46810926,785,3,32
2,137.8447124,826,3,32
2,487.731548,990,3,32
2,426.0905564,1179,3,32
2,412.6496448,1304,3,32
2,387.12483,507,3,32
2,670.9779502,1187,3,32
2,296.8627476,583,3,32
2,581.5283054,906,3,32
2,542.1294077,1162,3,32
2,274.5351645,676,3,32
2,495.0374245,1117,3,32
2,50.62890162,1274,1,28
2,585.8956105,1123,1,28
2,567.7943424,1440,1,28
2,90.98230285,925,1,28
2,584.4812743,791,1,28
2,760.0087623,960,1,28
2,599.3962315,576,1,28
2,509.8157999,1378,1,28
2,262.4401563,651,1,28
2,659.5316182,555,1,28
2,690.7462028,1293,1,28
2,450.6511803,459,1,28
2,61.80731746,524,1,28
2,657.0247925,1457,1,28
2,411.3925026,1087,1,28
2,710.6669358,826,1,28
2,146.5370957,1068,1,28
2,389.2478907,481,1,28
2,464.2796613,1355,1,28
2,152.0029195,1469,1,28
2,648.5657232,1205,1,28
2,549.3211424,1471,1,28
2,230.2241869,1233,1,28
2,212.3318927,787,1,28
2,83.94125725,493,1,28
2,67.8941185,1382,1,28
2,539.2215647,755,1,28
2,28.64657169,1419,1,28
2,281.3772909,633,1,28
2,129.653942,1057,1,28
2,425.0062531,1076,1,28
2,130.926234,835,1,28
2,292.5582911,957,1,28
2,159.1840275,1031,1,28
2,10.64035372,1304,1,28
2,584.9694617,1169,1,28
2,61.99736901,810,1,28
2,715.0828018,661,1,28
2,570.8872504,536,1,28
2,112.0015977,444,1,28
2,118.9471306,1365,1,28
2,667.692877,612,1,28
2,176.4809081,742,1,28
2,558.3213569,682,1,28
2,196.3005744,1249,1,28
2,527.1439429,1163,2,27
2,163.8153778,858,2,27
2,30.60812711,733,2,27
2,402.1058107,1054,2,27
2,474.1282101,741,2,27
2,767.9894455,1407,2,27
2,639.8578804,448,2,27
2,764.5295878,950,2,27
2,537.1365233,745,2,27
2,126.7891165,1214,2,27
2,301.7842783,984,2,27
2,746.9977718,1071,2,27
2,600.6086864,1431,2,27
2,730.7252954,1116,2,27
2,559.2554669,1251,2,27
2,301.9911354,790,2,27
2,577.8830478,1382,2,27
2,8.508141431,1215,2,27
2,141.5105422,928,2,27
2,406.4778908,526,2,27
2,683.1828857,1209,2,27
2,348.6282198,752,2,27
2,364.226977,813,2,27
2,523.4251299,436,2,27
2,192.4515712,649,2,27
2,582.1856038,1090,2,27
2,180.2512704,763,2,27
2,719.6373372,420,2,27
2,615.6070516,1332,2,27
2,447.2087431,1051,2,27
2,11.14108759,683,2,27
2,147.898946,503,3,32
2,48.65231166,1132,3,32
2,161.743481,1217,3,32
2,455.298636,545,3,32
2,438.7420965,737,3,32
2,25.98912026,1403,3,32
2,720.7556353,824,3,32
2,592.0611157,1164,3,32
2,3.427863059,1071,3,32
2,595.2684615,1009,3,32
2,213.3209568,1290,3,32
2,207.0807786,1100,3,32
2,81.1153056,1020,3,32
2,691.7611425,630,3,32
2,650.0470028,1061,3,32
2,258.4906215,865,3,32
2,107.864125,714,3,32
2,489.2751007,783,3,32
2,221.5799653,461,3,32
2,156.6914837,682,3,32
2,574.2224137,1252,3,32
2,417.7282049,1084,3,32
2,505.8105071,535,3,32
2,532.3272289,510,3,32
2,194.3673964,729,3,32
2,705.4252407,1318,3,32
2,388.5975635,1419,3,32
2,313.0398724,500,3,32
2,468.7392267,721,3,32
2,17.91930997,1228,3,32
2,418.0066064,1216,3,32
2,339.9028947,540,3,32
2,310.8863595,1167,3,32
2,144.5633029,855,3,32
2,319.8267525,751,3,32
2,668.206576,404,1,28
2,9.454196738,1103,1,28
2,216.7439484,580,1,28
2,457.8539882,1057,1,28
2,768.320199,1147,1,28
2,624.3625513,890,1,28
2,735.6445703,478,1,28
2,82.66518044,1482,1,28
2,663.031572,597,1,28
2,308.4255439,814,1,28
2,615.9089066,425,1,28
2,103.0663517,1309,1,28
2,508.6512408,905,1,28
2,527.7615233,1422,1,28
2,555.3944027,1250,1,28
2,281.9193522,1048,1,28
2,174.8883583,1473,1,28
2,393.5130971,1115,1,28
2,345.9076347,639,1,28
2,730.064377,754,1,28
2,315.7601217,652,1,28
2,431.2584402,806,1,28
2,301.3044702,875,1,28
2,63.57405884,1188,1,28
2,544.02169,1226,1,28
2,688.0502217,720,1,28
2,621.4935067,1165,1,28
2,41.37115579,1054,1,28
2,451.0836148,1085,1,28
2,644.4275915,1062,1,28
2,253.8400532,449,1,28
2,570.3800182,933,1,28
2,724.1612049,750,1,28
2,163.5539708,838,1,28
2,140.4286616,768,1,28
2,83.92651782,1473,1,28
2,51.70853203,1411,1,28
2,195.2394128,949,1,28
2,527.7770159,1428,1,28
2,344.8035165,1047,1,28
2,20.54156252,1102,2,27
2,171.8206245,691,2,27
2,633.1989673,948,2,27
2,229.9597899,1104,2,27
2,486.7193465,959,2,27
2,142.082238,1351,2,27
2,611.948956,460,2,27
2,414.6461767,1113,2,27
2,398.0454514,1262,2,27
2,693.4387315,1215,2,27
2,70.45333318,466,2,27
2,348.9587521,722,2,27
2,604.5525245,951,2,27
2,723.4538025,437,2,27
2,658.0321191,683,2,27
2,299.7225078,853,2,27
2,393.3087366,1192,2,27
2,140.8202109,489,2,27
2,720.3238179,1448,2,27
2,419.2826924,849,2,27
2,389.6672409,1005,2,27
2,730.0219766,1202,2,27
2,643.4912019,972,2,27
2,133.1818346,488,2,27
2,318.5935719,681,2,27
2,299.6704879,654,2,27
2,611.333954,1343,2,27
2,167.5421388,1083,2,27
2,533.2377982,924,2,27
2,22.47298116,942,2,27
2,31.47168438,952,2,27
2,435.4720905,1345,2,27
2,722.8436429,950,2,27
2,72.86994018,1341,2,27
2,205.3253169,1320,2,27
2,168.7306045,437,2,27
2,749.877802,594,2,27
2,216.2529337,1215,2,27
2,646.2509075,440,2,27
2,741.2100186,1014,2,27
2,548.2838635,757,2,27
2,129.9283374,780,3,32
2,109.2286594,1293,3,32
2,366.5272573,834,3,32
2,476.4682262,689,3,32
2,122.3558871,643,3,32
2,700.901232,1250,3,32
2,767.6375357,1324,3,32
2,311.9887981,586,3,32
2,578.9931715,641,3,32
2,271.52516,1438,3,32
2,698.0203006,469,3,32
2,531.4840284,1308,3,32
2,424.7973347,1090,3,32
2,384.9211298,722,3,32
2,293.0884099,552,3,32
2,164.9267414,744,3,32
2,32.58181382,1451,3,32
2,729.2065055,1483,3,32
2,175.8886641,1076,3,32
2,371.6001935,476,3,32
2,350.5286158,1024,3,32
2,199.2245536,1199,3,32
2,654.7744691,773,3,32
2,761.346585,414,3,32
2,340.9876032,472,3,32
2,64.12211915,634,3,32
2,376.7351684,539,3,32
2,486.184721,950,3,32
2,530.8946299,767,3,32
2,580.3447805,526,3,32
2,409.197124,775,3,32
2,648.7241382,853,3,32
2,645.5769654,662,3,32
2,134.3140501,628,3,32
2,180.2133104,1091,3,32
2,49.7664195,589,3,32
2,490.5904696,905,1,28
2,652.59899,936,1,28
2,418.1313495,700,1,28
2,41.21487304,641,1,28
2,243.9345293,414,1,28
2,146.0306183,1230,1,28
2,558.9187473,1188,1,28
2,602.6598595,870,1,28
2,8.646466786,895,1,28
2,621.8031445,1111,1,28
2,691.5385783,998,1,28
2,272.8182737,515,1,28
2,457.5208274,568,1,28
2,129.4203451,1013,1,28
2,656.749779,1426,1,28
2,613.4197837,1160,1,28
2,252.6845611,441,1,28
2,214.7517159,1076,1,28
2,545.9004844,1167,1,28
2,612.3503498,513,1,28
2,224.0467905,611,1,28
2,393.6432245,992,1,28
2,663.593189,1119,1,28
2,386.612754,1145,1,28
2,227.1112032,944,1,28
2,632.6336394,1211,1,28
2,204.8293827,1255,1,28
2,743.8770239,1358,1,28
2,402.6122797,1272,1,28
2,526.2989393,433,1,28
2,720.9073613,1135,1,28
2,358.9448257,1304,1,28
2,305.827824,592,1,28
2,7.103098363,831,1,28
2,373.3123299,654,1,28
2,496.271079,517,1,28
2,139.8793854,842,1,28
2,663.7552633,1116,1,28
2,22.75137732,702,1,28
2,90.19129516,1499,1,28
2,158.4762047,468,1,28
2,235.299212,1195,1,28
2,637.8086455,840,1,28
2,771.0970936,917,1,28
2,17.71130111,537,1,28
2,115.2852669,1061,2,27
2,64.89014802,1230,2,27
2,116.0510146,1126,2,27
2,11.93405117,1032,2,27
2,659.2225996,895,2,27
2,328.5908847,1095,2,27
2,310.6545772,1418,2,27
2,349.5523771,991,2,27
2,475.0496675,730,2,27
2,286.5622281,1065,2,27
2,241.7528592,1022,2,27
2,62.5734872,730,2,27
2,283.409098,1192,2,27
2,121.8120479,782,2,27
2,670.4122849,1163,2,27
2,511.5799561,531,2,27
2,552.0623441,1253,2,27
2,310.8177471,1153,2,27
2,726.6060415,484,2,27
2,427.282042,738,2,27
2,223.5778656,424,2,27
2,138.5559892,897,2,27
2,561.2476037,1071,2,27
2,702.9467723,487,2,27
2,662.0435638,806,2,27
2,516.5973945,1385,2,27
2,470.9015642,413,2,27
2,426.9019545,691,2,27
2,650.8805476,544,2,27
2,468.1141117,925,2,27
2,418.8668036,1447,2,27
2,620.0332002,903,2,27
2,295.4378288,1334,2,27
2,638.94987,419,2,27
2,318.3160939,595,2,27
2,403.6112727,550,2,27
2,457.4411713,1120,2,27
2,165.4789367,464,2,27
2,620.0510179,642,2,27
2,199.0187453,996,2,27
2,624.0482591,588,2,27
2,29.62560876,969,2,27
2,590.718632,1483,2,27
2,206.636931,589,3,32
2,118.5454787,1189,3,32
2,93.13136025,549,3,32
2,498.8865243,937,3,32
2,121.1582633,913,3,32
2,723.9321953,1296,3,32
2,142.8461574,1412,3,32
2,126.4757595,833,3,32
2,734.2389846,829,3,32
2,209.5792165,714,3,32
2,653.6216374,589,3,32
2,419.2246051,1388,3,32
2,26.13544929,1052,3,32
2,589.6149914,685,3,32
2,737.0155654,1408,3,32
2,414.5894814,879,3,32
2,248.436198,636,3,32
2,186.4269198,661,3,32
2,332.4392682,1003,3,32
2,704.4124152,1384,3,32
2,50.07673081,1345,3,32
2,553.9924418,451,3,32
2,469.8746556,1335,3,32
2,60.84778253,872,3,32
2,110.4151461,1063,3,32
2,641.524392,910,3,32
2,714.2210346,1160,3,32
2,385.3017536,948,3,32
2,214.2988921,486,3,32
2,236.4412778,500,3,32
2,637.424573,623,3,32
3,757.226227,4714,1,29
3,748.2220724,1868,1,29
3,267.8119334,5540,1,29
3,485.8122144,5324,1,29
3,704.564246,3668,1,29
3,692.1026354,3396,1,29
3,419.4007758,2726,1,29
3,10.60726715,5972,1,29
3,687.543803,2566,1,29
3,198.0380393,5871,1,29
3,260.0824043,3475,1,29
3,82.15095408,2286,1,29
3,137.9062253,2158,1,29
3,165.4232135,3914,1,29
3,13.54494532,1558,1,29
3,736.6173275,2903,1,29
3,628.850076,4158,1,29
3,663.8903041,4256,1,29
3,762.2756314,5098,1,29
3,42.83773511,3081,1,29
3,392.4702082,3333,1,29
3,98.20143636,3038,1,29
3,439.1919416,4930,1,29
3,379.3483966,5815,1,29
3,690.4860789,3343,1,29
3,126.0671389,5394,1,29
3,19.32223146,2188,1,29
3,118.7085114,5440,1,29
3,76.29066567,5607,2,31
3,354.0032545,5115,2,31
3,98.16786693,4548,2,31
3,176.8307148,3151,2,31
3,375.389905,2197,2,31
3,756.2254392,6040,2,31
3,370.6116386,5244,2,31
3,163.6222841,4482,2,31
3,105.1433632,3006,2,31
3,221.3532525,2666,2,31
3,430.6888549,3438,2,31
3,416.3637275,3622,2,31
3,313.0856607,3944,2,31
3,665.4104588,5543,2,31
3,407.0498442,2421,2,31
3,198.3725177,1908,2,31
3,689.216574,1981,2,31
3,369.2368432,3511,2,31
3,160.2776699,3783,2,31
3,557.3624828,3979,2,31
3,542.0664476,3013,2,31
3,576.9091846,2181,2,31
3,551.9944178,5079,2,31
3,555.9500088,2317,2,31
3,423.8157686,2022,2,31
3,317.358209,5113,2,31
3,312.1675985,3045,2,31
3,276.3506531,1692,3,25
3,139.8945961,5422,3,25
3,728.3269424,4786,3,25
3,661.9487896,2932,3,25
3,133.570843,3657,3,25
3,202.3814877,1932,3,25
3,254.0425585,4661,3,25
3,229.155869,1977,3,25
3,197.5659057,5089,3,25
3,725.513137,2309,3,25
3,294.933945,4039,3,25
3,335.0904651,1800,3,25
3,711.1210078,5112,3,25
3,625.2477008,5283,3,25
3,249.8110765,5790,3,25
3,610.8984235,3307,3,25
3,727.3752301,5155,3,25
3,330.2550453,4947,3,25
3,203.8543436,3776,3,25
3,666.5985745,2465,3,25
3,546.0380507,4066,3,25
3,673.8142636,5628,3,25
3,274.4459294,5882,3,25
3,747.5287896,1550,3,25
3,10.3118805,3938,3,25
3,23.12184412,4609,3,25
3,132.9284542,4506,3,25
3,124.3822073,5482,3,25
3,278.5216793,1706,3,25
3,635.0460298,4721,3,25
3,48.25958998,4072,3,25
3,230.7649813,5266,3,25
3,265.0337408,3322,3,25
3,467.7726917,2429,3,25
3,446.1191641,4190,3,25
3,574.3959315,4698,3,25
3,142.0120097,2124,3,25
3,263.0692161,1947,3,25
3,435.1483656,5554,3,25
3,672.4893339,2717,3,25
3,709.1036508,4251,3,25
3,321.0195596,1870,3,25
3,151.3373624,5418,1,29
3,433.1455895,4650,1,29
3,609.7673305,4706,1,29
3,579.3909638,3904,1,29
3,92.4616483,5172,1,29
3,534.3839193,4038,1,29
3,354.6162781,6008,1,29
3,89.81849537,2224,1,29
3,336.6773691,5942,1,29
3,34.70635297,2240,1,29
3,332.9881078,4071,1,29
3,11.33052693,4262,1,29
3,675.5524369,2080,1,29
3,542.2221237,1773,1,29
3,606.6226763,3841,1,29
3,187.1907257,2800,1,29
3,763.670977,3175,1,29
3,757.2645263,5866,1,29
3,541.3708315,3486,1,29
3,693.4822981,4094,1,29
3,74.31124076,5528,1,29
3,127.5284268,4075,1,29
3,483.0057687,6037,1,29
3,474.7248629,5076,1,29
3,263.9616495,1522,1,29
3,571.7853589,2335,1,29
3,205.4852963,5998,1,29
3,629.0626861,4280,1,29
3,772.9896891,3783,1,29
3,163.5306256,3838,1,29
3,578.3458064,2054,2,31
3,484.8959677,4832,2,31
3,356.6253378,1695,2,31
3,57.14255011,3180,2,31
3,271.4628509,5658,2,31
3,107.4140223,2135,2,31
3,551.1099739,3781,2,31
3,491.2543514,2786,2,31
3,622.6608351,2933,2,31
3,466.0081783,5624,2,31
3,673.7036204,6098,2,31
3,386.5434178,4830,2,31
3,679.872061,5320,2,31
3,634.1354497,4895,2,31
3,334.0568802,2847,2,31
3,321.0639199,4067,2,31
3,350.4381007,2257,2,31
3,638.2613599,3895,2,31
3,617.3886565,5572,2,31
3,752.1517175,3095,2,31
3,672.3988137,2014,2,31
3,759.0102157,2271,2,31
3,429.5611654,2360,2,31
3,165.549893,4464,2,31
3,499.3069657,4488,2,31
3,662.5160651,2533,2,31
3,180.3767597,2383,2,31
3,315.2363034,3932,2,31
3,241.8717483,3165,2,31
3,176.1403283,1891,2,31
3,723.1350792,2686,3,25
3,80.95819246,5095,3,25
3,333.9089954,2174,3,25
3,56.60281104,4012,3,25
3,719.20197,3325,3,25
3,65.19886884,2128,3,25
3,652.663422,5772,3,25
3,517.4791473,4028,3,25
3,517.2026106,3767,3,25
3,144.0126565,5047,3,25
3,423.6725474,5566,3,25
3,0.016063126,5107,3,25
3,106.152555,4571,3,25
3,738.823067,5401,3,25
3,52.46826118,4751,3,25
3,579.6940036,5099,3,25
3,438.6341661,3538,3,25
3,181.4530144,2963,3,25
3,406.3769126,3018,3,25
3,261.4796809,2998,3,25
3,636.0583629,3331,3,25
3,713.8993719,3143,3,25
3,404.8259204,2100,3,25
3,596.8213987,4781,3,25
3,661.8164554,2555,3,25
3,600.8763445,4089,3,25
3,504.3030495,5940,3,25
3,219.9847596,3630,3,25
3,483.998232,4871,3,25
3,492.1775287,2743,3,25
3,127.9486226,4379,3,25
3,163.7615992,4251,3,25
3,294.2900929,1503,1,29
3,695.1266817,2593,1,29
3,223.4671657,5289,1,29
3,666.4173101,3430,1,29
3,639.6383427,5702,1,29
3,375.7005472,2522,1,29
3,36.81678571,2661,1,29
3,728.4416144,3016,1,29
3,736.1929548,3338,1,29
3,118.3788037,6151,1,29
3,489.1451898,6061,1,29
3,466.8517949,5434,1,29
3,333.5523672,3112,1,29
3,65.23134724,5847,1,29
3,312.6695396,5200,1,29
3,552.4605184,3264,1,29
3,375.4911452,2682,1,29
3,214.4773226,5503,1,29
3,219.1086181,3375,1,29
3,268.4541566,5456,1,29
3,245.3125533,4589,1,29
3,184.3891352,2666,1,29
3,286.253061,1635,1,29
3,166.8071377,2084,1,29
